id,question,response,category,topic,row_type,source_url,note
615,I want to know: Tell me about CODFEL link,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
616,YABATECH CODFEL application portal,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
617,Quick question: YABATECH CODFEL application portal for admission learners,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
618,Please answer: YABATECH CODFEL application portal?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
619,Where can CODFEL students register?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
620,Help me answer: Where can CODFEL students register? briefly,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
621,Can you explain: Where can CODFEL students register? as a chatbot response,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
622,Which site is used for CODFEL?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
623,Class question: Which site is used for CODFEL? for students,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
624,Quick question: Which site is used for CODFEL?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
625,How do I apply to CODFEL?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
626,Please answer: How do I apply to CODFEL?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
627,"For a learner, How do I apply to CODFEL? for admission learners",YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
628,What portal supports open distance and flexible learning?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
629,What portal supports open distance and flexible learning? for students,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
630,Help me answer: What portal supports open distance and flexible learning?,YABATECH links CODFEL through codfel.yabatech.edu.ng and also provides a CODFEL registration/application portal.,portal,codfel,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
631,What student services are on YABATECH website?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
632,Help me answer: What student services are on YABATECH website? please,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
633,What student services are on YABATECH website? in simple terms,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
634,List YABATECH student links,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
635,"In simple words, List YABATECH student links please","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
636,Class question: List YABATECH student links in simple terms,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
637,Where can students find downloads and handbook?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
638,Quick question: Where can students find downloads and handbook? on YABATECH website,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
639,Can you explain: Where can students find downloads and handbook? briefly,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
640,Does YABATECH site have student email?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
641,"In simple words, Does YABATECH site have student email? for students","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
642,Can you explain: Does YABATECH site have student email? on YABATECH website,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
643,What links are under students on YABATECH?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
644,Help me answer: What links are under students on YABATECH?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
645,Help me answer: What links are under students on YABATECH? please,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
646,What online services are available for YABATECH students?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
647,What online services are available for YABATECH students? for admission learners,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
648,Class question: What online services are available for YABATECH students? on YABATECH website,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
649,Can students access sports and societies online?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
650,Quick question: Can students access sports and societies online? on YABATECH website,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
651,"For a learner, Can students access sports and societies online? for admission learners","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
652,Where can I find YABATECH calendar?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
653,"In simple words, Where can I find YABATECH calendar? for admission learners","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
654,Help me answer: Where can I find YABATECH calendar? briefly,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
655,What does the students section contain?,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
656,"In simple words, What does the students section contain? for students","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
657,"In simple words, What does the students section contain? please","The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
658,Tell me about student resources on YABATECH site,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
659,Quick question: Tell me about student resources on YABATECH site in simple terms,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
660,Quick question: Tell me about student resources on YABATECH site in simple terms,"The official site provides student links for the Student Portal, CODFEL Registration, Student Email, Sports and Societies, Calendar, Handbook, Downloads, and Flexible Skills.",students,student services,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
661,What is the latest YABATECH news on April 29 2026?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
662,"For a learner, What is the latest YABATECH news on April 29 2026? for students","One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
663,What is the latest YABATECH news on April 29 2026? for students,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
664,Tell me about YASUG election voters list,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
665,Quick question: Tell me about YASUG election voters list as a chatbot response,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
666,Student asked: Tell me about YASUG election voters list for admission learners,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
667,Is there a YASUG election voters list notice?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
668,Class question: Is there a YASUG election voters list notice? as a chatbot response,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
669,Student asked: Is there a YASUG election voters list notice? in simple terms,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
670,What news did YABATECH post on April 29 2026?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
671,What news did YABATECH post on April 29 2026? for admission learners,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
672,Class question: What news did YABATECH post on April 29 2026?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
673,YABATECH latest student union election voters list,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
674,YABATECH latest student union election voters list?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
675,I want to know: YABATECH latest student union election voters list for students,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
676,What is the recent YASUG voters list update?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
677,Can you explain: What is the recent YASUG voters list update? briefly,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
678,Class question: What is the recent YASUG voters list update? as a chatbot response,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
679,Which YABATECH news is dated Apr 29 2026?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
680,Class question: Which YABATECH news is dated Apr 29 2026? on YABATECH website,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
681,Which YABATECH news is dated Apr 29 2026?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
682,YASUG election voters list date,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
683,I want to know: YASUG election voters list date,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
684,Class question: YASUG election voters list date please,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
685,What is the latest YABATECH election notice?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
686,Please answer: What is the latest YABATECH election notice?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
687,What is the latest YABATECH election notice?,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
688,Tell me the 2026 YASUG voters list news,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
689,"For a learner, Tell me the 2026 YASUG voters list news today","One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
690,Student asked: Tell me the 2026 YASUG voters list news today,"One recent official news item is 'YASUG Election Voters List', dated April 29, 2026.",latest_news,2026 election voters list,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
691,What is the YABATECH Attention Please notice about?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
692,Please answer: What is the YABATECH Attention Please notice about? as a chatbot response,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
693,"For a learner, What is the YABATECH Attention Please notice about?","YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
694,Did YABATECH warn about fraudsters?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
695,Class question: Did YABATECH warn about fraudsters? for admission learners,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
696,I want to know: Did YABATECH warn about fraudsters? today,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
697,What fraud warning did YABATECH publish?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
698,Can you explain: What fraud warning did YABATECH publish? please,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
699,Can you explain: What fraud warning did YABATECH publish? briefly,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
700,Tell me about the April 22 2026 YABATECH notice,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
701,I want to know: Tell me about the April 22 2026 YABATECH notice please,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
702,Student asked: Tell me about the April 22 2026 YABATECH notice,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
703,What is YABATECH warning prospective candidates about?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
704,Please answer: What is YABATECH warning prospective candidates about? for admission learners,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
705,Student asked: What is YABATECH warning prospective candidates about? please,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
706,Is portal activation fraud mentioned by YABATECH?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
707,I want to know: Is portal activation fraud mentioned by YABATECH? briefly,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
708,Help me answer: Is portal activation fraud mentioned by YABATECH? briefly,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
709,What should students know about YABATECH payment fraud?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
710,Class question: What should students know about YABATECH payment fraud? in simple terms,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
711,Help me answer: What should students know about YABATECH payment fraud? as a chatbot response,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
712,What does the attention notice say?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
713,Help me answer: What does the attention notice say? as a chatbot response,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
714,Class question: What does the attention notice say? for admission learners,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
715,YABATECH warning about application form scams,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
716,Class question: YABATECH warning about application form scams on YABATECH website,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
717,"For a learner, YABATECH warning about application form scams please","YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
718,How does YABATECH advise the public about payments?,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,official_fact,https://www.yabatech.edu.ng/,current as checked on 2026-05-12
719,Please answer: How does YABATECH advise the public about payments? as a chatbot response,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
720,Student asked: How does YABATECH advise the public about payments? briefly,"YABATECH posted an 'Attention Please' notice on April 22, 2026 warning the public against fraudsters extorting money under false claims such as application forms or portal activation.",latest_news,attention notice,generated_variation,https://www.yabatech.edu.ng/,derived from official site fact; verify before public deployment
721,What is the 2026 YABATECH Students Union election notice?,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
722,"For a learner, What is the 2026 YABATECH Students Union election notice? today","YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
723,"For a learner, What is the 2026 YABATECH Students Union election notice? for admission learners","YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
724,When was YABATECH Students Union Election 2026 posted?,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
725,"In simple words, When was YABATECH Students Union Election 2026 posted?","YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
726,Can you explain: When was YABATECH Students Union Election 2026 posted? briefly,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
727,Tell me about YABATECH student union election 2026,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,official_fact,https://www.yabatech.edu.ng/yabatechallnews.php,current as checked on 2026-05-12
728,Can you explain: Tell me about YABATECH student union election 2026 for admission learners,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
729,Help me answer: Tell me about YABATECH student union election 2026 briefly,"YABATECH posted a notice titled 'YABATECH Students' Union Election 2026' on April 15, 2026.",latest_news,students union election 2026,generated_variation,https://www.yabatech.edu.ng/yabatechallnews.php,derived from official site fact; verify before public deployment
